columnName,typeData
HoyaItemType,varchar
CMPNYCD,varchar
RCVNO,varchar
LABOCD,varchar
STCKPNT,varchar
SOLD_TO_COMPANY_CODE,varchar
SALCSTMCD,varchar
SALBRCHCD,varchar
SHIP_TO_COMPANY_CODE,varchar
SHPBRCHCD,varchar
SHPCSTMCD,varchar
TRCODE,varchar
SUBTRNCD,varchar
SALMANCD,varchar
RCVDATE,varchar
RCVTIME,varchar
ORDTYPE,varchar
OPERATOR,varchar
DITEM,varchar
TOTDETLINE,varchar
TOTORDQTY,int
PRIMARY KEY,(RCVNO)
