columnName,typeData
HoyaItemType,varchar
CMPNYCD,varchar
RCVNO,varchar
LABOCD,int
STCKPNT,int
SOLD_TO_COMPANY_CODE,varchar
SALCSTMCD,int
SALBRCHCD,int
SHIP_TO_COMPANY_CODE,varchar
SHPBRCHCD,int
SHPCSTMCD,int
TRCODE,int
SUBTRNCD,int
SALMANCD,int
RCVDATE,varchar
RCVTIME,int
ORDTYPE,varchar
OPERATOR,varchar
DITEM,varchar
TOTDETLINE,varchar
TOTORDQTY,int
PRIMARY KEY,(RCVNO)
